"","AphiaID","scientificname","valid_name","valid_AphiaID","kingdom","phylum","class","order","family","genus"
"35",123304,"Pseudarchaster","Pseudarchaster",123304,"Animalia","Echinodermata","Asteroidea","Paxillosida","Pseudarchasteridae","Pseudarchaster"
"36",135085,"Caryophyllia","Caryophyllia",135085,"Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia"
"37",106875,"Atelecyclus","Atelecyclus",106875,"Animalia","Arthropoda","Malacostraca","Decapoda","Atelecyclidae","Atelecyclus"
"38",110708,"Thysanoessa inermis","Thysanoessa inermis",110708,"Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa"
"39",123161,"Strongylocentrotidae","Strongylocentrotidae",123161,"Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae",NA
"40",123867,"Astropecten irregularis","Astropecten irregularis",123867,"Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten"
"41",107388,"Liocarcinus holsatus","Liocarcinus holsatus",107388,"Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Liocarcinus"
"42",153035,"Walvisteuthidae","Onychoteuthidae",11742,"Animalia","Mollusca","Cephalopoda","Oegopsida","Walvisteuthidae",NA
"43",135144,"Caryophyllia (Caryophyllia) smithii","Caryophyllia (Caryophyllia) smithii",135144,"Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia"
"44",153091,"Cirroteuthis","Cirroteuthis",153091,"Animalia","Mollusca","Cephalopoda","Octopoda","Cirroteuthidae","Cirroteuthis"
"45",138265,"Bathypolypus","Bathypolypus",138265,"Animalia","Mollusca","Cephalopoda","Octopoda","Bathypolypodidae","Bathypolypus"
"46",123389,"Psammechinus","Psammechinus",123389,"Animalia","Echinodermata","Echinoidea","Camarodonta","Parechinidae","Psammechinus"
"47",137732,"Acanthocardia","Acanthocardia",137732,"Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia"
"48",111374,"Securiflustra securifrons","Securiflustra securifrons",111374,"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Flustridae","Securiflustra"
"49",999082,"Helix (Ophiospila)","Solaropsis",870601,"Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Helix"
"50",342212,"Cirroteuthis muelleri","Cirroteuthis muelleri",342212,"Animalia","Mollusca","Cephalopoda","Octopoda","Cirroteuthidae","Cirroteuthis"
"51",107273,"Atelecyclus rotundatus","Atelecyclus rotundatus",107273,"Animalia","Arthropoda","Malacostraca","Decapoda","Atelecyclidae","Atelecyclus"
"52",117225,"Abietinaria","Abietinaria",117225,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria"
"53",124085,"Pseudarchaster parelii","Pseudarchaster parelii",124085,"Animalia","Echinodermata","Asteroidea","Paxillosida","Pseudarchasteridae","Pseudarchaster"
"54",125999,"Pomatoschistus","Pomatoschistus",125999,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Pomatoschistus"
"55",416357,"Alosa agone","Alosa agone",416357,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Alosa"
"56",130464,"Hyalinoecia tubicola","Hyalinoecia tubicola",130464,"Animalia","Annelida","Polychaeta","Eunicida","Onuphidae","Hyalinoecia"
"57",104023,"Terebratulida","Terebratulida",104023,"Animalia","Brachiopoda","Rhynchonellata","Terebratulida",NA,NA
"58",123896,"Leptychaster arcticus","Leptychaster arcticus",123896,"Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Leptychaster"
"59",125147,"Ophioscolex glacialis","Ophioscolex glacialis",125147,"Animalia","Echinodermata","Ophiuroidea","Ophioscolecida","Ophioscolecidae","Ophioscolex"
"60",124978,"Ophiacantha bidentata","Ophiacantha bidentata",124978,"Animalia","Echinodermata","Ophiuroidea","Ophiacanthida","Ophiacanthidae","Ophiacantha"
"61",104040,"Terebratulina","Terebratulina",104040,"Animalia","Brachiopoda","Rhynchonellata","Terebratulida","Cancellothyrididae","Terebratulina"
"62",111600,"Alcyonidium gelatinosum","Alcyonidium gelatinosum",111600,"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Alcyonidiidae","Alcyonidium"
"63",999011,"Modonitor","Nitor",818418,"Animalia","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Modonitor"
"64",123881,"Bathybiaster vexillifer","Bathybiaster vexillifer",123881,"Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Bathybiaster"
"65",138238,"Cryptonatica","Cryptonatica",138238,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Cryptonatica"
"66",134669,"Colossendeis proboscidea","Colossendeis proboscidea",134669,"Animalia","Arthropoda","Pycnogonida","Pantopoda","Colossendeidae","Colossendeis"
"67",101881,"Amathillopsis spinigera","Amathillopsis spinigera",101881,"Animalia","Arthropoda","Malacostraca","Amphipoda","Amathillopsidae","Amathillopsis"
"68",124966,"Gorgonocephalus arcticus","Gorgonocephalus arcticus",124966,"Animalia","Echinodermata","Ophiuroidea","Euryalida","Gorgonocephalidae","Gorgonocephalus"
"69",124900,"Ophiopleura borealis","Ophiopleura borealis",124900,"Animalia","Echinodermata","Ophiuroidea","Ophiurida","Ophiopyrgidae","Ophiopleura"
"70",101528,"Rhachotropis","Rhachotropis",101528,"Animalia","Arthropoda","Malacostraca","Amphipoda","Eusiridae","Rhachotropis"
"71",125170,"Poraniomorpha (Poraniomorpha) hispida","Poraniomorpha (Poraniomorpha) hispida",125170,"Animalia","Echinodermata","Asteroidea","Valvatida","Poraniidae","Poraniomorpha"
"72",150642,"Epizoanthus incrustatus","Epizoanthus papillosus",101037,"Animalia","Cnidaria","Anthozoa","Zoantharia","Epizoanthidae","Epizoanthus"
"73",138628,"Onchidiopsis","Onchidiopsis",138628,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Velutinidae","Onchidiopsis"
"74",266489,"Phascolion strombus","Phascolion (Phascolion) strombus strombus",410749,"Animalia","Sipuncula","Sipunculidea","Golfingiida","Golfingiidae","Phascolion"
"75",138938,"Volutopsius norwegicus","Volutopsius norwegicus",138938,"Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Volutopsius"
"76",137885,"Dendronotus","Dendronotus",137885,"Animalia","Mollusca","Gastropoda","Nudibranchia","Dendronotidae","Dendronotus"
"77",124446,"Myriotrochus rinkii","Myriotrochus rinkii",124446,"Animalia","Echinodermata","Holothuroidea","Apodida","Myriotrochidae","Myriotrochus"
"78",146774,"Careproctus longipinnis","Careproctus longipinnis",146774,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Careproctus"
"79",103522,"Microcosmus","Microcosmus",103522,"Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Microcosmus"
"80",123426,"Echinocardium","Echinocardium",123426,"Animalia","Echinodermata","Echinoidea","Spatangoida","Loveniidae","Echinocardium"
"81",111597,"Alcyonidium diaphanum","Alcyonidium diaphanum",111597,"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Alcyonidiidae","Alcyonidium"
"82",107010,"Philocheras","Philocheras",107010,"Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Philocheras"
"83",123321,"Poraniomorpha","Poraniomorpha",123321,"Animalia","Echinodermata","Asteroidea","Valvatida","Poraniidae","Poraniomorpha"
"84",129400,"Hyalinoecia","Hyalinoecia",129400,"Animalia","Annelida","Polychaeta","Eunicida","Onuphidae","Hyalinoecia"
"85",123109,"Aspidochirotida","Aspidochirotida",123109,"Animalia","Echinodermata","Holothuroidea","Aspidochirotida",NA,NA
"86",157012,"Benthoctopus piscatorum","Bathypolypus bairdii",157011,"Animalia","Mollusca","Cephalopoda","Octopoda","Bathypolypodidae","Benthoctopus"
"87",117145,"Staurophora","Staurostoma",117146,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Laodiceidae","Staurophora"
"88",719327,"Anatoma gunteri","Anatoma gunteri",719327,"Animalia","Mollusca","Gastropoda","Lepetellida","Anatomidae","Anatoma"
"89",158350,"Atlantopandalus","Atlantopandalus",158350,"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Atlantopandalus"
"90",107558,"Philocheras echinulatus","Philocheras echinulatus",107558,"Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Philocheras"
"91",122348,"Cerebratulus","Cerebratulus",122348,"Animalia","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Cerebratulus"
"92",138992,"Acanthocardia echinata","Acanthocardia echinata",138992,"Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia"
"93",117870,"Abietinaria abietina","Abietinaria abietina",117870,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria"
"94",110993,"Alcyonidium","Alcyonidium",110993,"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Alcyonidiidae","Alcyonidium"
"95",101157,"Priapulopsis bicaudatus","Priapulopsis bicaudatus",101157,"Animalia","Priapulida",NA,"Priapulomorpha","Priapulidae","Priapulopsis"
"96",134659,"Colossendeis angusta","Colossendeis angusta",134659,"Animalia","Arthropoda","Pycnogonida","Pantopoda","Colossendeidae","Colossendeis"
"97",123587,"Ophiacantha","Ophiacantha",123587,"Animalia","Echinodermata","Ophiuroidea","Ophiacanthida","Ophiacanthidae","Ophiacantha"
"98",123633,"Ophioscolex","Ophioscolex",123633,"Animalia","Echinodermata","Ophiuroidea","Ophioscolecida","Ophioscolecidae","Ophioscolex"
"99",999083,"Opica","Marmorana",996444,"Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Opica"
"100",123441,"Myriotrochus","Myriotrochus",123441,"Animalia","Echinodermata","Holothuroidea","Apodida","Myriotrochidae","Myriotrochus"
"101",254378,"Pyrulofusus deformis","Pyrulofusus deformis",254378,"Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Pyrulofusus"
"102",138855,"Beringius turtoni","Beringius turtoni",138855,"Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Beringius"
"103",104055,"Terebratulina retusa","Terebratulina retusa",104055,"Animalia","Brachiopoda","Rhynchonellata","Terebratulida","Cancellothyrididae","Terebratulina"
"104",110674,"Meganyctiphanes","Meganyctiphanes",110674,"Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Meganyctiphanes"
"105",107041,"Dichelopandalus","Dichelopandalus",107041,"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Dichelopandalus"
"106",122478,"Cerebratulus marginatus","Cerebratulus marginatus",122478,"Animalia","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Cerebratulus"
"107",129229,"Chaetopterus","Chaetopterus",129229,"Animalia","Annelida","Polychaeta",NA,"Chaetopteridae","Chaetopterus"
"108",140143,"Lepidochitona (Lepidochitona) cinerea","Lepidochitona cinerea",152774,"Animalia","Mollusca","Polyplacophora","Chitonida","Tonicellidae","Lepidochitona"
"109",709394,"Spirontocaris lilljeborgii","Spirontocaris liljeborgii",107531,"Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris"
